url, popularity_rank, category, overall_rank
autos.yahoo.com,872138, Top/Shopping/Classifieds,6
www.amazon.com,10, Top/Shopping/Entertainment,10
www.amazon.com,10, Top/Shopping/General_Merchandise,10
www.netflix.com,26, Top/Shopping/Entertainment,27
www.ebay.com,40, Top/Shopping/Auctions,39
music.ebay.com,872239, Top/Shopping/Entertainment,39
shop.bbc.com,31664, Top/Shopping/Entertainment,93
www.amazon.co.uk,80, Top/Shopping/Entertainment,94
gaslightconversions.com.s3-website-us-east-1.amazonaws.com,874798, Top/Shopping/Home_and_Garden,120
deetfree.co.s3-website-us-west-2.amazonaws.com,874798, Top/Shopping/Recreation,120
www.walmart.com,143, Top/Shopping/General_Merchandise,171
www.etsy.com,148, Top/Shopping/Crafts,182
www.designbcb.etsy.com,874784, Top/Shopping/Crafts,182
www.spinningsheep.etsy.com,874784, Top/Shopping/Crafts,182
uneekdolldesigns.etsy.com,874784, Top/Shopping/Crafts,182
birkascandinavian.etsy.com,874784, Top/Shopping/Jewelry,182
fairchildart.etsy.com,874784, Top/Shopping/Recreation,182
mostlyart.etsy.com,874784, Top/Shopping/Recreation,182
store.steampowered.com,188, Top/Shopping/Toys_and_Games,189
www.ikea.com,196, Top/Shopping/General_Merchandise,266
www.bestbuy.com,224, Top/Shopping/Consumer_Electronics,308
www.bestbuy.com,224, Top/Shopping/General_Merchandise,308
www.homedepot.com,251, Top/Shopping/General_Merchandise,333
www.homedepot.com,251, Top/Shopping/Home_and_Garden,333
www.target.com,270, Top/Shopping/General_Merchandise,392
www.cambridge.org,326, Top/Shopping/Publications,426
www.nike.com,353, Top/Shopping/Sports,481
www.wiley.com,354, Top/Shopping/Publications,483
davidjack2.bandcamp.com,876762, Top/Shopping/Children,542
mitpress.mit.edu,14210, Top/Shopping/Publications,550
www.hm.com,399, Top/Shopping/Clothing,564
www.humblebundle.com,608, Top/Shopping/Toys_and_Games,585
telephones.att.com,86059, Top/Shopping/Consumer_Electronics,593
newegg.com,421, Top/Shopping/Consumer_Electronics,601
www.groupon.com,424, Top/Shopping/Classifieds,615
shop.npr.org,57718, Top/Shopping/Entertainment,650
www.lowes.com,463, Top/Shopping/General_Merchandise,676
www.lowes.com,463, Top/Shopping/Home_and_Garden,676
