url,popularity_rank,category,overall_rank
www.amazon.com,10,Top/Shopping/Entertainment,10
www.amazon.com,10,Top/Shopping/General_Merchandise,10
www.ebay.com,40,Top/Shopping/Auctions,39
music.ebay.com,872239,Top/Shopping/Entertainment,39
gaslightconversions.com.s3-website-us-east-1.amazonaws.com,874798,Top/Shopping/Home_and_Garden,120
deetfree.co.s3-website-us-west-2.amazonaws.com,874798,Top/Shopping/Recreation,120
www.etsy.com,148,Top/Shopping/Crafts,182
www.designbcb.etsy.com,874784,Top/Shopping/Crafts,182
www.spinningsheep.etsy.com,874784,Top/Shopping/Crafts,182
uneekdolldesigns.etsy.com,874784,Top/Shopping/Crafts,182
birkascandinavian.etsy.com,874784,Top/Shopping/Jewelry,182
fairchildart.etsy.com,874784,Top/Shopping/Recreation,182
mostlyart.etsy.com,874784,Top/Shopping/Recreation,182
www.bestbuy.com,224,Top/Shopping/Consumer_Electronics,308
www.bestbuy.com,224,Top/Shopping/General_Merchandise,308
www.homedepot.com,251,Top/Shopping/General_Merchandise,333
www.homedepot.com,251,Top/Shopping/Home_and_Garden,333
www.lowes.com,463,Top/Shopping/General_Merchandise,676
www.lowes.com,463,Top/Shopping/Home_and_Garden,676
www.redbubble.com,795,Top/Shopping/Visual_Arts,1383
dajson.redbubble.com,877718,Top/Shopping/Visual_Arts,1383
classics.autotrader.com,8610,Top/Shopping/Classifieds,1654
www.autotrader.com,925,Top/Shopping/Vehicles,1654
maps.nationalgeographic.com,879873,Top/Shopping/Publications,1803
shop.nationalgeographic.com,32025,Top/Shopping/Recreation,1803
www.bedbathandbeyond.com,983,Top/Shopping/General_Merchandise,1861
invitations.bedbathandbeyond.com,409296,Top/Shopping/Weddings,1861
www.staples.com,1168,Top/Shopping/General_Merchandise,2223
www.staples.com,1168,Top/Shopping/Office_Products,2223
www.barnesandnoble.com,1159,Top/Shopping/Entertainment,2227
music.barnesandnoble.com,879174,Top/Shopping/Entertainment,2227
www.barnesandnoble.com,1159,Top/Shopping/Publications,2227
auctions.samsclub.com,30931,Top/Shopping/Auctions,2570
www.samsclub.com,1343,Top/Shopping/General_Merchandise,2570
www.officedepot.com,1593,Top/Shopping/General_Merchandise,3116
www.officedepot.com,1593,Top/Shopping/Office_Products,3116
www.journals.uchicago.edu,10912,Top/Shopping/Publications,3358
www.press.uchicago.edu,20037,Top/Shopping/Publications,3358
www.upress.virginia.edu,139129,Top/Shopping/Publications,4205
www.bookstore.virginia.edu,881919,Top/Shopping/Sports,4205
www.cabelas.com,2094,Top/Shopping/General_Merchandise,4348
www.cabelas.com,2094,Top/Shopping/Recreation,4348
antiquestocks.stores.yahoo.net,896050,Top/Shopping/Antiques_and_Collectibles,5284
yhst-66840478078428.stores.yahoo.net,896050,Top/Shopping/Antiques_and_Collectibles,5284
sanctuarie-net.stores.yahoo.net,598432,Top/Shopping/Clothing,5284
carolinaleatherworks.stores.yahoo.net,814815,Top/Shopping/Clothing,5284
88-bags.stores.yahoo.net,896050,Top/Shopping/Clothing,5284
avmounts.stores.yahoo.net,896050,Top/Shopping/Consumer_Electronics,5284
hamiltonholtinc.stores.yahoo.net,387681,Top/Shopping/Entertainment,5284
